customerID,customerName,customerCity,customerCountry,employeeID,employeeName,employeeCity,employeeCountry,orderMonth,orderYear,shipOrders,notShipOrders
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,01,2018,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,02,2023,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,03,2018,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,04,2017,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,04,2020,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,05,2018,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,06,2016,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,07,2021,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,08,2015,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,09,2013,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,09,2020,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,09,2022,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,10,2020,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,11,2013,2,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,11,2015,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,11,2017,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,12,2013,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,12,2014,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,1,Nancy Davolio,Seattle,USA,12,2017,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,01,2020,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,01,2021,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,02,2016,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,02,2020,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,02,2021,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,03,2017,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,03,2023,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,04,2016,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,04,2018,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,05,2023,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,06,2018,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,06,2021,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,07,2015,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,08,2021,2,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,08,2023,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,09,2017,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,11,2019,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,12,2012,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,12,2014,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,2,Andrew Fuller,Tacoma,USA,12,2020,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,02,2018,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,02,2019,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,03,2018,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,03,2019,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,04,2018,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,04,2019,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,06,2013,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,07,2021,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,08,2017,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,09,2012,1,0
ALFKI,Alfreds Futterkiste,Berlin,Germany,3,Janet Leverling,Kirkland,USA,09,2013,1,0
